what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1648606753331
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1648606753332
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1648606753332
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1648606753333
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1648606753334
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1648606753335
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1648606753335
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1648606753342
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1648606753347
started,bundle,com.altera.sbtgui.integration,12.1.0.177,"com.altera.sbtgui.integration",1648606753347
started,bundle,com.altera.sbtgui.project,12.1.0.177,"com.altera.sbtgui.project",1648606753348
started,bundle,com.altera.systemconsole,12.1.0.177,"com.altera.systemconsole",1648606753348
started,bundle,com.altera.systemconsole.designs.plugin,12.1.0.177,"com.altera.systemconsole.designs.plugin",1648606753348
started,bundle,com.altera.utilities,12.1.0.177,"com.altera.utilities",1648606753348
os,sysinfo,,,"win32",1648606753348
arch,sysinfo,,,"x86",1648606753348
ws,sysinfo,,,"win32",1648606753348
locale,sysinfo,,,"en_US",1648606753348
processors,sysinfo,,,"8",1648606753348
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1648606753348
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1648606753348
java.specification.name,sysinfo,,,"Java Platform API Specification",1648606753348
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1648606753348
java.specification.version,sysinfo,,,"1.6",1648606753348
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1648606753348
java.version,sysinfo,,,"1.6.0_23",1648606753348
java.vm.info,sysinfo,,,"mixed mode",1648606753348
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1648606753348
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1648606753348
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1648606753348
java.vm.specification.version,sysinfo,,,"1.0",1648606753348
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1648606753348
java.vm.version,sysinfo,,,"19.0-b09",1648606753348
started,bundle,com.altera.systemconsole.scripting,12.1.0.177,"com.altera.systemconsole.scripting",1648606753852
started,bundle,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch",1648606754384
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1648606755359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648606755836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648607135569
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648607135585
started,bundle,com.altera.sbtgui.core,12.1.0.177,"com.altera.sbtgui.core",1648607135675
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1648607135727
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1648607135731
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1648607135985
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1648607136095
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1648607136237
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1648607136316
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648607144583
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648607174504
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1648607174511
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1648607174511
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1648607174938
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1648607174955
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1648607174955
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1648607174956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648607175005
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648607179269
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648607191248
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1648607191266
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648607191378
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1648607191730
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648607235267
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648607244697
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648607246466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648607320947
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648607327532
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648607723253
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648607723271
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648607723490
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648607723565
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648607727630
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648608218394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648608224476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648608229662
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1648608237585
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1648608237590
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648608243404
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648608309592
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648608344342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648612472109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648612472164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648612477646
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1648612511136
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648612511766
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648612511939
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648612533599
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648612596406
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1648612596677
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1648612606489
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1648612607729
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648612639359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1648612669669
